symptoms,disease
"body ache,sore throat,muscle pain",Malaria
"sore throat,headache,chills",Flu
"weakness,cough,nausea",Malaria
"headache,shortness of breath,weakness",COVID-19
"headache,muscle pain,shortness of breath",Flu
"shortness of breath,weakness,headache",COVID-19
"fever,sore throat,shortness of breath",COVID-19
"chills,weakness,sore throat",Malaria
"body ache,fever,headache",Flu
"fever,muscle pain,shortness of breath",Flu
"nausea,weakness,sore throat",Malaria
"body ache,sore throat,runny nose",Malaria
"shortness of breath,fever,headache",Flu
"muscle pain,sore throat,cough",Flu
"cough,nausea,fever",COVID-19
"muscle pain,cough,fever",Flu
"cough,body ache,muscle pain",Malaria
"cough,headache,chills",Flu
"vomiting,fever,chills",Flu
"chills,muscle pain,weakness",Flu
"vomiting,nausea,body ache",Malaria
"shortness of breath,nausea,sore throat",COVID-19
"weakness,runny nose,shortness of breath",COVID-19
"runny nose,chills,shortness of breath",COVID-19
"body ache,shortness of breath,nausea",Malaria
"cough,muscle pain,body ache",Malaria
"vomiting,fever,chills",Flu
"body ache,chills,shortness of breath",Malaria
"muscle pain,headache,body ache",Flu
"shortness of breath,runny nose,weakness",COVID-19
"fever,nausea,body ache",Malaria
"runny nose,headache,sore throat",Flu
"fever,headache,cough",Flu
"runny nose,headache,weakness",Flu
"nausea,vomiting,headache",Malaria
"chills,fever,runny nose",Flu
"fever,runny nose,weakness",Malaria
"nausea,muscle pain,fever",Flu
"headache,body ache,chills",Flu
"sore throat,weakness,headache",Malaria
"nausea,shortness of breath,sore throat",COVID-19
"shortness of breath,chills,headache",Flu
"headache,runny nose,sore throat",Allergy
"nausea,vomiting,chills",Malaria
"fever,vomiting,nausea",Malaria
"shortness of breath,sore throat,chills",COVID-19
"headache,vomiting,weakness",Malaria
"sore throat,nausea,body ache",Malaria
"chills,sore throat,weakness",Malaria
"vomiting,shortness of breath,muscle pain",Malaria
"nausea,fever,headache",Flu
"weakness,fever,muscle pain",Flu
"headache,muscle pain,cough",Flu
"chills,nausea,sore throat",Flu
"sore throat,muscle pain,weakness",Flu
"fever,shortness of breath,headache",Flu
"body ache,cough,weakness",Malaria
"weakness,cough,headache",Malaria
"chills,fever,vomiting",Flu
"cough,weakness,vomiting",Malaria
"fever,chills,nausea",Flu
"runny nose,headache,weakness",Flu
"chills,body ache,fever",Flu
"shortness of breath,sore throat,cough",COVID-19
"body ache,headache,chills",Flu
"shortness of breath,sore throat,muscle pain",COVID-19
"muscle pain,vomiting,weakness",Malaria
"fever,sore throat,cough",COVID-19
"cough,shortness of breath,nausea",COVID-19
"cough,sore throat,fever",COVID-19
"cough,fever,body ache",Malaria
"cough,nausea,headache",COVID-19
"nausea,headache,shortness of breath",COVID-19
"sore throat,runny nose,fever",Allergy
"vomiting,fever,runny nose",Malaria
"fever,body ache,cough",Malaria
"muscle pain,nausea,headache",Flu
"shortness of breath,sore throat,weakness",COVID-19
"nausea,headache,shortness of breath",COVID-19
"fever,body ache,shortness of breath",Malaria
"cough,chills,headache",Flu
"sore throat,chills,headache",Flu
"vomiting,body ache,cough",Malaria
"nausea,shortness of breath,vomiting",Malaria
"headache,weakness,vomiting",Malaria
"chills,vomiting,runny nose",Malaria
"body ache,nausea,fever",Malaria
"runny nose,fever,cough",COVID-19
"runny nose,fever,sore throat",Cold
"muscle pain,shortness of breath,fever",Flu
"chills,muscle pain,body ache",Flu
"cough,runny nose,chills",COVID-19
"cough,muscle pain,headache",Flu
"body ache,chills,cough",Malaria
"cough,weakness,sore throat",COVID-19
"fever,body ache,nausea",Malaria
"vomiting,shortness of breath,cough",COVID-19
"cough,shortness of breath,headache",COVID-19
"shortness of breath,body ache,weakness",Malaria
"body ache,chills,sore throat",Malaria
"muscle pain,headache,nausea",Flu
"nausea,runny nose,sore throat",Allergy
"weakness,sore throat,runny nose",Malaria
"chills,muscle pain,body ache",Flu
"headache,chills,weakness",Flu
"muscle pain,body ache,weakness",Malaria
"headache,runny nose,shortness of breath",Allergy
"chills,nausea,weakness",Malaria
"fever,sore throat,weakness",Malaria
"runny nose,sore throat,vomiting",Malaria
"fever,vomiting,headache",Flu
"chills,fever,sore throat",Flu
"shortness of breath,body ache,fever",COVID-19
"nausea,vomiting,body ache",Malaria
"cough,runny nose,muscle pain",COVID-19
"fever,shortness of breath,nausea",COVID-19
"body ache,cough,shortness of breath",COVID-19
"vomiting,runny nose,sore throat",Malaria
"cough,fever,vomiting",Malaria
"cough,weakness,vomiting",Malaria
"runny nose,weakness,nausea",Malaria
"headache,shortness of breath,cough",COVID-19
"nausea,shortness of breath,muscle pain",COVID-19
"muscle pain,chills,shortness of breath",Flu
"body ache,chills,headache",Flu
"fever,chills,cough",Flu
"runny nose,nausea,body ache",Malaria
"muscle pain,vomiting,body ache",Malaria
"shortness of breath,weakness,vomiting",Malaria
"headache,vomiting,cough",Malaria
"chills,nausea,vomiting",Malaria
"headache,chills,cough",Flu
"headache,chills,body ache",Flu
"vomiting,nausea,body ache",Malaria
"muscle pain,weakness,sore throat",Flu
"headache,chills,muscle pain",Flu
"chills,muscle pain,vomiting",Flu
"cough,headache,chills",Flu
"chills,body ache,weakness",Malaria
"runny nose,sore throat,headache",Flu
"weakness,shortness of breath,nausea",Malaria
"shortness of breath,cough,sore throat",COVID-19
"shortness of breath,muscle pain,chills",Flu
"cough,shortness of breath,chills",COVID-19
"sore throat,chills,weakness",Malaria
"shortness of breath,weakness,cough",COVID-19
"chills,runny nose,shortness of breath",Allergy
"headache,muscle pain,chills",Flu
"weakness,headache,shortness of breath",COVID-19
"headache,shortness of breath,sore throat",COVID-19
"vomiting,fever,shortness of breath",Malaria
"muscle pain,chills,weakness",Flu
"cough,body ache,nausea",Malaria
"vomiting,body ache,fever",Malaria
"nausea,shortness of breath,fever",COVID-19
"runny nose,weakness,muscle pain",Malaria
"nausea,muscle pain,headache",Flu
"runny nose,vomiting,weakness",Malaria
"headache,fever,shortness of breath",Flu
"nausea,chills,cough",COVID-19
"weakness,runny nose,shortness of breath",COVID-19
"chills,vomiting,fever",Flu
"muscle pain,chills,shortness of breath",Flu
"shortness of breath,chills,cough",COVID-19
"fever,headache,chills",Flu
"chills,body ache,weakness",Malaria
"nausea,weakness,muscle pain",Malaria
"fever,nausea,muscle pain",Flu
"shortness of breath,headache,body ache",COVID-19
"fever,weakness,sore throat",Malaria
"sore throat,weakness,cough",Malaria
"body ache,fever,shortness of breath",Malaria
"runny nose,body ache,fever",Malaria
"runny nose,headache,weakness",Flu
"runny nose,shortness of breath,muscle pain",COVID-19
"muscle pain,headache,nausea",Flu
"sore throat,chills,fever",Flu
"chills,weakness,nausea",Malaria
"fever,shortness of breath,runny nose",COVID-19
"fever,headache,vomiting",Flu
"muscle pain,body ache,cough",Malaria
"nausea,sore throat,chills",Flu
"cough,body ache,sore throat",Malaria
"chills,cough,nausea",COVID-19
"weakness,headache,chills",Flu
"runny nose,sore throat,nausea",Allergy
"runny nose,fever,nausea",Allergy
"cough,shortness of breath,muscle pain",COVID-19
"headache,cough,chills",Flu
"runny nose,chills,shortness of breath",COVID-19
"sore throat,runny nose,body ache",Malaria
"body ache,weakness,runny nose",Malaria
"body ache,chills,sore throat",Malaria
"headache,nausea,weakness",Malaria
"weakness,muscle pain,chills",Flu
"weakness,body ache,vomiting",Malaria
"sore throat,cough,muscle pain",COVID-19
"headache,fever,cough",Flu
"sore throat,headache,shortness of breath",COVID-19
"weakness,muscle pain,vomiting",Malaria
"runny nose,nausea,weakness",Malaria
"cough,chills,vomiting",Malaria
"weakness,runny nose,shortness of breath",COVID-19
"fever,vomiting,weakness",Malaria
"muscle pain,chills,weakness",Flu
"weakness,shortness of breath,sore throat",COVID-19
"muscle pain,body ache,shortness of breath",Malaria
"cough,muscle pain,chills",Flu
"fever,muscle pain,body ache",Flu
"vomiting,runny nose,fever",Malaria
"body ache,vomiting,headache",Malaria
"chills,cough,vomiting",Malaria
"shortness of breath,cough,muscle pain",COVID-19
"chills,nausea,fever",Flu
"runny nose,vomiting,headache",Malaria
"nausea,vomiting,fever",Malaria
"headache,body ache,shortness of breath",Malaria
"cough,muscle pain,nausea",COVID-19
"body ache,cough,chills",Malaria
"muscle pain,runny nose,chills",Flu
"runny nose,sore throat,weakness",Malaria
"fever,weakness,shortness of breath",COVID-19
"shortness of breath,sore throat,fever",COVID-19
"vomiting,nausea,weakness",Malaria
"vomiting,cough,shortness of breath",COVID-19
"headache,shortness of breath,sore throat",COVID-19
"body ache,cough,vomiting",Malaria
"shortness of breath,weakness,runny nose",COVID-19
"sore throat,headache,fever",Flu
"runny nose,fever,nausea",Allergy
"fever,cough,nausea",COVID-19
"fever,headache,cough",Flu
"nausea,fever,sore throat",Cold
"runny nose,sore throat,fever",Allergy
"headache,nausea,muscle pain",Flu
"headache,weakness,fever",Flu
"weakness,body ache,cough",Malaria
"weakness,fever,nausea",Malaria
"chills,nausea,body ache",Malaria
"runny nose,headache,cough",Flu
"weakness,cough,headache",Malaria
"shortness of breath,runny nose,chills",COVID-19
"body ache,vomiting,muscle pain",Malaria
"nausea,headache,chills",Flu
"nausea,chills,body ache",Malaria
"sore throat,runny nose,headache",Flu
"cough,fever,headache",Flu
"chills,weakness,vomiting",Malaria
"nausea,muscle pain,headache",Flu
"body ache,weakness,chills",Malaria
"nausea,headache,shortness of breath",COVID-19
"sore throat,body ache,runny nose",Malaria
"sore throat,fever,weakness",Malaria
"nausea,chills,shortness of breath",COVID-19
"cough,nausea,fever",COVID-19
"fever,nausea,muscle pain",Flu
"runny nose,fever,sore throat",Cold
"sore throat,shortness of breath,headache",COVID-19
"runny nose,vomiting,nausea",Malaria
"weakness,fever,body ache",Malaria
"cough,muscle pain,nausea",COVID-19
"fever,runny nose,cough",COVID-19
"muscle pain,body ache,chills",Flu
"fever,runny nose,nausea",Allergy
"sore throat,fever,muscle pain",Flu
"headache,body ache,runny nose",Malaria
"cough,body ache,sore throat",Malaria
"shortness of breath,body ache,muscle pain",COVID-19
"nausea,chills,body ache",Malaria
"runny nose,nausea,sore throat",Allergy
"chills,runny nose,weakness",Allergy
"shortness of breath,fever,body ache",COVID-19
"runny nose,sore throat,weakness",Malaria
"runny nose,headache,shortness of breath",Flu
"vomiting,nausea,chills",Malaria
"sore throat,vomiting,runny nose",Malaria
"sore throat,body ache,cough",Malaria
"headache,vomiting,muscle pain",Flu
"weakness,vomiting,muscle pain",Malaria
"runny nose,chills,weakness",Malaria
"fever,body ache,nausea",Malaria
"body ache,vomiting,muscle pain",Malaria
"vomiting,shortness of breath,nausea",Malaria
"chills,cough,body ache",Malaria
"headache,sore throat,shortness of breath",COVID-19
"cough,chills,runny nose",Allergy
"sore throat,cough,shortness of breath",COVID-19
"sore throat,cough,vomiting",Malaria
"weakness,chills,headache",Flu
"weakness,body ache,runny nose",Malaria
"fever,sore throat,runny nose",Cold
"nausea,cough,sore throat",COVID-19
"chills,fever,nausea",Flu
"weakness,runny nose,muscle pain",Malaria
"weakness,body ache,vomiting",Malaria
"weakness,headache,muscle pain",Flu
"cough,fever,runny nose",COVID-19
"headache,shortness of breath,fever",Flu
"weakness,shortness of breath,headache",COVID-19
"runny nose,fever,shortness of breath",COVID-19
"weakness,headache,muscle pain",Flu
"runny nose,vomiting,sore throat",Malaria
"body ache,sore throat,shortness of breath",Malaria
"muscle pain,body ache,fever",Flu
"nausea,cough,chills",COVID-19
"fever,sore throat,headache",Flu
"fever,shortness of breath,sore throat",COVID-19
"shortness of breath,runny nose,cough",COVID-19
"shortness of breath,chills,headache",Flu
"sore throat,runny nose,weakness",Malaria
"vomiting,headache,cough",Malaria
"shortness of breath,cough,chills",COVID-19
"weakness,shortness of breath,runny nose",COVID-19
"nausea,weakness,fever",Malaria
"vomiting,muscle pain,shortness of breath",Malaria
"fever,chills,shortness of breath",Flu
"vomiting,chills,sore throat",Malaria
"body ache,runny nose,cough",Malaria
"sore throat,chills,nausea",Flu
"chills,shortness of breath,body ache",COVID-19
"nausea,shortness of breath,cough",COVID-19
"nausea,shortness of breath,muscle pain",COVID-19
"weakness,vomiting,fever",Malaria
"sore throat,headache,runny nose",Allergy
"muscle pain,vomiting,cough",Malaria
"chills,runny nose,fever",Flu
"shortness of breath,vomiting,nausea",Malaria
"body ache,headache,chills",Flu
"runny nose,muscle pain,cough",Flu
"nausea,chills,sore throat",Flu
"vomiting,muscle pain,sore throat",Malaria
"headache,chills,muscle pain",Flu
"shortness of breath,body ache,vomiting",Malaria
"fever,nausea,vomiting",Malaria
"shortness of breath,headache,vomiting",COVID-19
"cough,muscle pain,runny nose",COVID-19
"shortness of breath,vomiting,body ache",Malaria
"cough,weakness,body ache",Malaria
"cough,body ache,chills",Malaria
"runny nose,fever,chills",Flu
"vomiting,shortness of breath,fever",Malaria
"headache,vomiting,muscle pain",Flu
"shortness of breath,headache,weakness",COVID-19
"chills,headache,sore throat",Flu
"headache,weakness,vomiting",Malaria
"cough,fever,chills",Flu
"sore throat,headache,cough",COVID-19
"muscle pain,headache,shortness of breath",Flu
"shortness of breath,chills,muscle pain",Flu
"vomiting,headache,fever",Flu
"cough,headache,body ache",Malaria
"fever,body ache,cough",Malaria
"chills,cough,runny nose",Allergy
"headache,runny nose,body ache",Allergy
"weakness,cough,sore throat",Malaria
"runny nose,muscle pain,weakness",Flu
"weakness,headache,shortness of breath",COVID-19
"shortness of breath,muscle pain,sore throat",COVID-19
"cough,runny nose,vomiting",Malaria
"weakness,muscle pain,sore throat",Malaria
"body ache,sore throat,cough",Malaria
"headache,vomiting,muscle pain",Flu
"body ache,runny nose,fever",Malaria
"nausea,fever,muscle pain",Flu
"body ache,headache,chills",Flu
"runny nose,nausea,shortness of breath",COVID-19
"body ache,chills,weakness",Malaria
"headache,body ache,runny nose",Malaria
"headache,vomiting,cough",Malaria
"nausea,fever,sore throat",Cold
"body ache,cough,weakness",Malaria
"body ache,cough,sore throat",Malaria
"chills,muscle pain,vomiting",Flu
"weakness,vomiting,runny nose",Malaria
"fever,cough,runny nose",COVID-19
"nausea,chills,body ache",Malaria
"runny nose,fever,muscle pain",Flu
"nausea,headache,fever",Flu
"chills,shortness of breath,body ache",COVID-19
"nausea,headache,cough",COVID-19
"muscle pain,cough,runny nose",Flu
"runny nose,fever,vomiting",Malaria
"weakness,headache,body ache",Malaria
"nausea,vomiting,weakness",Malaria
"nausea,muscle pain,shortness of breath",COVID-19
"vomiting,runny nose,headache",Malaria
"weakness,shortness of breath,headache",COVID-19
"shortness of breath,nausea,vomiting",Malaria
"sore throat,fever,headache",Flu
"vomiting,shortness of breath,fever",Malaria
"fever,sore throat,cough",COVID-19
"nausea,cough,sore throat",COVID-19
"weakness,nausea,body ache",Malaria
"runny nose,headache,body ache",Flu
"vomiting,cough,body ache",Malaria
"runny nose,muscle pain,vomiting",Malaria
"headache,runny nose,fever",Flu
"nausea,weakness,body ache",Malaria
"runny nose,body ache,shortness of breath",Malaria
"fever,sore throat,shortness of breath",COVID-19
"chills,cough,sore throat",COVID-19
"weakness,headache,vomiting",Malaria
"body ache,cough,muscle pain",Malaria
"nausea,cough,weakness",Malaria
"vomiting,shortness of breath,runny nose",Malaria
"muscle pain,headache,runny nose",Flu
"chills,runny nose,shortness of breath",Allergy
"muscle pain,vomiting,shortness of breath",Malaria
"vomiting,weakness,sore throat",Malaria
"nausea,sore throat,chills",Flu
"vomiting,runny nose,nausea",Malaria
"muscle pain,nausea,weakness",Malaria
"vomiting,weakness,runny nose",Malaria
"muscle pain,shortness of breath,fever",Flu
"headache,nausea,body ache",Malaria
"fever,weakness,shortness of breath",COVID-19
"runny nose,nausea,shortness of breath",COVID-19
"muscle pain,chills,vomiting",Flu
"headache,sore throat,vomiting",Malaria
"sore throat,runny nose,headache",Flu
"runny nose,shortness of breath,muscle pain",COVID-19
"headache,sore throat,vomiting",Malaria
"fever,chills,nausea",Flu
"shortness of breath,chills,body ache",COVID-19
"cough,vomiting,muscle pain",Malaria
"cough,headache,vomiting",Malaria
"body ache,nausea,vomiting",Malaria
"vomiting,sore throat,headache",Malaria
"weakness,sore throat,vomiting",Malaria
"vomiting,muscle pain,nausea",Malaria
"sore throat,nausea,runny nose",Allergy
"sore throat,body ache,muscle pain",Malaria
"shortness of breath,fever,chills",Flu
"vomiting,body ache,cough",Malaria
"vomiting,muscle pain,runny nose",Malaria
"nausea,muscle pain,vomiting",Malaria
"weakness,shortness of breath,fever",COVID-19
"chills,fever,nausea",Flu
"headache,sore throat,runny nose",Allergy
"muscle pain,runny nose,shortness of breath",COVID-19
"weakness,headache,sore throat",Malaria
"shortness of breath,cough,body ache",COVID-19
"runny nose,shortness of breath,cough",COVID-19
"headache,body ache,chills",Flu
"weakness,headache,fever",Flu
"headache,weakness,muscle pain",Flu
"cough,nausea,muscle pain",COVID-19
"shortness of breath,runny nose,weakness",COVID-19
"vomiting,fever,shortness of breath",Malaria
"vomiting,chills,weakness",Malaria
"muscle pain,vomiting,headache",Flu
"muscle pain,shortness of breath,cough",COVID-19
"muscle pain,headache,vomiting",Flu
"nausea,body ache,cough",Malaria
"chills,runny nose,shortness of breath",Allergy
"chills,cough,muscle pain",Flu
"sore throat,cough,weakness",COVID-19
"shortness of breath,runny nose,weakness",COVID-19
"fever,chills,shortness of breath",Flu
"sore throat,shortness of breath,fever",COVID-19
"cough,vomiting,chills",Malaria
"vomiting,sore throat,shortness of breath",Malaria
"nausea,runny nose,chills",Flu
"sore throat,nausea,fever",Flu
"shortness of breath,headache,cough",COVID-19
"fever,cough,headache",Flu
"runny nose,vomiting,shortness of breath",Malaria
"nausea,vomiting,cough",Malaria
"body ache,headache,nausea",Malaria
"shortness of breath,vomiting,nausea",Malaria
"vomiting,weakness,chills",Malaria
"weakness,vomiting,sore throat",Malaria
"muscle pain,runny nose,weakness",Flu
"muscle pain,weakness,headache",Flu
"sore throat,weakness,headache",Malaria
"body ache,headache,cough",Malaria
"nausea,weakness,headache",Malaria
"weakness,cough,chills",Malaria
"vomiting,weakness,headache",Malaria
"cough,nausea,fever",COVID-19
"headache,shortness of breath,fever",Flu
"vomiting,body ache,nausea",Malaria
"muscle pain,chills,headache",Flu
"runny nose,weakness,chills",Malaria
"cough,weakness,muscle pain",COVID-19
"cough,chills,body ache",Malaria
"muscle pain,chills,weakness",Flu
"shortness of breath,fever,chills",Flu
"chills,vomiting,runny nose",Malaria
"chills,fever,shortness of breath",Flu
"runny nose,sore throat,chills",Flu
"shortness of breath,nausea,chills",COVID-19
"cough,vomiting,shortness of breath",COVID-19
"body ache,shortness of breath,sore throat",Malaria
"cough,runny nose,headache",Flu
"vomiting,chills,shortness of breath",Malaria
"body ache,vomiting,runny nose",Malaria
"runny nose,headache,vomiting",Flu
"headache,fever,sore throat",Flu
"muscle pain,headache,chills",Flu
"shortness of breath,runny nose,sore throat",COVID-19
"vomiting,fever,weakness",Malaria
"muscle pain,runny nose,vomiting",Malaria
"runny nose,nausea,body ache",Malaria
"nausea,body ache,fever",Malaria
"vomiting,body ache,weakness",Malaria
"headache,shortness of breath,body ache",COVID-19
"runny nose,muscle pain,sore throat",Flu
"body ache,chills,shortness of breath",Malaria
"fever,body ache,nausea",Malaria
"vomiting,headache,sore throat",Malaria
"vomiting,runny nose,shortness of breath",Malaria
"headache,vomiting,weakness",Malaria
"vomiting,shortness of breath,nausea",Malaria
"nausea,weakness,headache",Malaria
"shortness of breath,body ache,cough",COVID-19
"vomiting,headache,weakness",Malaria
"chills,sore throat,nausea",Flu
"sore throat,headache,fever",Flu
"body ache,vomiting,cough",Malaria
"cough,shortness of breath,nausea",COVID-19
"vomiting,chills,nausea",Malaria
"runny nose,chills,cough",COVID-19
"headache,sore throat,muscle pain",Flu
"chills,muscle pain,weakness",Flu
"headache,vomiting,weakness",Malaria
"cough,muscle pain,sore throat",COVID-19
"cough,chills,nausea",COVID-19
"vomiting,fever,cough",Malaria
"cough,shortness of breath,vomiting",COVID-19
"headache,cough,vomiting",Malaria
"nausea,vomiting,runny nose",Malaria
"cough,runny nose,fever",COVID-19
"runny nose,sore throat,body ache",Malaria
"runny nose,weakness,headache",Flu
"cough,headache,vomiting",Malaria
"chills,fever,sore throat",Flu
"runny nose,fever,body ache",Malaria
"weakness,nausea,chills",Malaria
"cough,fever,shortness of breath",COVID-19
"sore throat,runny nose,fever",Allergy
"cough,fever,vomiting",Malaria
"shortness of breath,headache,body ache",COVID-19
"headache,runny nose,fever",Flu
"vomiting,muscle pain,nausea",Malaria
"muscle pain,shortness of breath,headache",Flu
"muscle pain,sore throat,headache",Flu
"chills,shortness of breath,headache",Flu
"nausea,muscle pain,body ache",Malaria
"weakness,body ache,vomiting",Malaria
"headache,weakness,chills",Flu
"vomiting,shortness of breath,fever",Malaria
"nausea,muscle pain,chills",Flu
"shortness of breath,runny nose,headache",COVID-19
"fever,chills,body ache",Flu
"muscle pain,nausea,vomiting",Malaria
"cough,muscle pain,headache",Flu
"muscle pain,fever,shortness of breath",Flu
"headache,vomiting,body ache",Malaria
"nausea,fever,weakness",Malaria
"cough,muscle pain,weakness",COVID-19
"weakness,nausea,cough",Malaria
"headache,muscle pain,sore throat",Flu
"nausea,weakness,shortness of breath",Malaria
"weakness,fever,nausea",Malaria
"headache,body ache,shortness of breath",Malaria
"chills,fever,headache",Flu
"headache,runny nose,fever",Flu
"weakness,muscle pain,cough",Malaria
"fever,weakness,headache",Flu
"chills,nausea,vomiting",Malaria
"headache,weakness,vomiting",Malaria
"shortness of breath,vomiting,sore throat",COVID-19
"cough,fever,body ache",Malaria
"sore throat,muscle pain,chills",Flu
"chills,muscle pain,body ache",Flu
"runny nose,body ache,cough",Malaria
"chills,vomiting,runny nose",Malaria
"weakness,muscle pain,body ache",Malaria
"body ache,nausea,cough",Malaria
"nausea,weakness,sore throat",Malaria
"vomiting,headache,cough",Malaria
"headache,chills,sore throat",Flu
"nausea,sore throat,chills",Flu
"shortness of breath,muscle pain,runny nose",COVID-19
"body ache,vomiting,cough",Malaria
"cough,body ache,fever",Malaria
"nausea,runny nose,headache",Flu
"muscle pain,headache,nausea",Flu
"body ache,sore throat,vomiting",Malaria
"shortness of breath,sore throat,weakness",COVID-19
"body ache,cough,headache",Malaria
"sore throat,fever,body ache",Malaria
"headache,sore throat,vomiting",Malaria
"muscle pain,body ache,vomiting",Malaria
"chills,shortness of breath,cough",COVID-19
"body ache,fever,nausea",Malaria
"nausea,weakness,body ache",Malaria
"chills,muscle pain,weakness",Flu
"fever,headache,vomiting",Flu
"vomiting,shortness of breath,body ache",Malaria
"fever,weakness,muscle pain",Flu
"muscle pain,cough,vomiting",Malaria
"headache,chills,vomiting",Flu
"body ache,cough,vomiting",Malaria
"fever,body ache,chills",Flu
"cough,vomiting,headache",Malaria
"muscle pain,headache,sore throat",Flu
"fever,body ache,headache",Flu
"muscle pain,vomiting,headache",Flu
"shortness of breath,muscle pain,chills",Flu
"headache,chills,cough",Flu
"runny nose,weakness,headache",Flu
"nausea,sore throat,runny nose",Allergy
"body ache,cough,sore throat",Malaria
"body ache,muscle pain,runny nose",Malaria
"weakness,nausea,chills",Malaria
"body ache,runny nose,sore throat",Malaria
"chills,cough,nausea",COVID-19
"fever,headache,nausea",Flu
"sore throat,muscle pain,cough",Flu
"vomiting,headache,runny nose",Malaria
"body ache,shortness of breath,sore throat",Malaria
"muscle pain,vomiting,weakness",Malaria
"sore throat,cough,fever",COVID-19
"chills,weakness,fever",Flu
"runny nose,vomiting,chills",Malaria
"runny nose,body ache,fever",Malaria
"weakness,vomiting,sore throat",Malaria
"headache,cough,chills",Flu
"shortness of breath,body ache,weakness",Malaria
"vomiting,body ache,headache",Malaria
"fever,sore throat,muscle pain",Flu
"body ache,sore throat,muscle pain",Malaria
"weakness,cough,runny nose",Malaria
"body ache,nausea,fever",Malaria
"vomiting,chills,shortness of breath",Malaria
"chills,cough,nausea",COVID-19
"nausea,chills,shortness of breath",COVID-19
"body ache,cough,vomiting",Malaria
"muscle pain,shortness of breath,headache",Flu
"shortness of breath,vomiting,nausea",Malaria
"shortness of breath,fever,weakness",COVID-19
"headache,runny nose,cough",Allergy
"muscle pain,chills,headache",Flu
"cough,muscle pain,fever",Flu
"body ache,chills,muscle pain",Flu
"chills,sore throat,vomiting",Malaria
"nausea,headache,cough",COVID-19
"nausea,runny nose,cough",COVID-19
"shortness of breath,vomiting,runny nose",COVID-19
"fever,weakness,vomiting",Malaria
"headache,cough,fever",Flu
"body ache,muscle pain,shortness of breath",Malaria
"sore throat,body ache,shortness of breath",Malaria
"weakness,shortness of breath,vomiting",Malaria
"nausea,body ache,runny nose",Malaria
"chills,body ache,muscle pain",Flu
"body ache,weakness,fever",Malaria
"vomiting,body ache,chills",Malaria
"body ache,fever,nausea",Malaria
"cough,fever,headache",Flu
"headache,muscle pain,runny nose",Flu
"muscle pain,runny nose,nausea",Flu
"sore throat,fever,runny nose",Allergy
"vomiting,cough,nausea",Malaria
"muscle pain,nausea,sore throat",Flu
"chills,sore throat,runny nose",Allergy
"shortness of breath,body ache,headache",COVID-19
"body ache,muscle pain,chills",Flu
"body ache,vomiting,sore throat",Malaria
"cough,vomiting,weakness",Malaria
"shortness of breath,runny nose,sore throat",COVID-19
"runny nose,vomiting,fever",Malaria
"fever,runny nose,body ache",Malaria
"sore throat,nausea,cough",COVID-19
"fever,shortness of breath,nausea",COVID-19
"muscle pain,headache,body ache",Flu
"fever,headache,weakness",Flu
"weakness,cough,chills",Malaria
"cough,muscle pain,nausea",COVID-19
"vomiting,fever,muscle pain",Flu
"vomiting,cough,sore throat",Malaria
"cough,fever,nausea",COVID-19
"muscle pain,fever,vomiting",Flu
"headache,body ache,shortness of breath",Malaria
"vomiting,shortness of breath,nausea",Malaria
"headache,nausea,shortness of breath",COVID-19
"cough,body ache,fever",Malaria
"headache,chills,shortness of breath",Flu
"shortness of breath,cough,nausea",COVID-19
"shortness of breath,nausea,weakness",Malaria
"sore throat,fever,nausea",Flu
"weakness,chills,body ache",Malaria
"cough,vomiting,muscle pain",Malaria
"fever,muscle pain,cough",Flu
"sore throat,headache,weakness",Malaria
"nausea,runny nose,sore throat",Allergy
"chills,weakness,body ache",Malaria
"nausea,muscle pain,runny nose",Flu
"vomiting,runny nose,cough",Malaria
"body ache,cough,headache",Malaria
"muscle pain,headache,nausea",Flu
"vomiting,weakness,sore throat",Malaria
"chills,muscle pain,headache",Flu
"headache,nausea,muscle pain",Flu
"body ache,runny nose,fever",Malaria
"vomiting,body ache,chills",Malaria
"runny nose,vomiting,shortness of breath",Malaria
"chills,muscle pain,body ache",Flu
"nausea,muscle pain,headache",Flu
"shortness of breath,muscle pain,runny nose",COVID-19
"sore throat,headache,muscle pain",Flu
"fever,headache,runny nose",Flu
"cough,fever,sore throat",COVID-19
"weakness,runny nose,vomiting",Malaria
"headache,body ache,shortness of breath",Malaria
"headache,weakness,muscle pain",Flu
"sore throat,weakness,muscle pain",Malaria
"sore throat,vomiting,body ache",Malaria
"cough,runny nose,nausea",COVID-19
"headache,runny nose,weakness",Allergy
"weakness,fever,runny nose",Malaria
"sore throat,muscle pain,cough",Flu
"runny nose,muscle pain,body ache",Malaria
"vomiting,headache,muscle pain",Flu
"fever,headache,shortness of breath",Flu
"headache,fever,body ache",Flu
"cough,weakness,body ache",Malaria
"sore throat,muscle pain,chills",Flu
"nausea,weakness,chills",Malaria
"weakness,sore throat,body ache",Malaria
"weakness,runny nose,cough",Malaria
"weakness,nausea,body ache",Malaria
"weakness,headache,fever",Flu
"shortness of breath,weakness,runny nose",COVID-19
"vomiting,fever,cough",Malaria
"chills,shortness of breath,cough",COVID-19
"muscle pain,headache,chills",Flu
"fever,nausea,cough",COVID-19
"chills,runny nose,weakness",Allergy
"vomiting,chills,body ache",Malaria
"shortness of breath,vomiting,weakness",Malaria
"headache,vomiting,runny nose",Malaria
